code,product_name_en,brands,serving_size,categories_tags,labels,allergens_tags,traces,energy-kcal_value,fat_value_per_100g,saturated_fat_value_per_100g,carbohydrates_value_per_g,sugars_value,proteins_value_per_100g,energy_value,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts,label,salt_value_in_grams,sodium_value_in_grams,apple,banana,beef,eggs,fish,gelatin,gluten,milk,no_traces,nuts,orange,peach,peanuts,sesame-seeds,soybeans,sulphur-dioxide-and-sulphites
0846675012531,Plum mighty veg tots snacks sweet potato apple banana,Not Known Brand,106.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,57.0,0.47,0.0,13.21,9.43,0.94,57.0,"milk-and-dairy-products,milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.06,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0848860041227,Low fat yogurt,Not Known Brand,85.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,106.0,1.76,1.18,17.65,14.12,4.71,106.0,"milk-and-dairy-products,milk-and-yogurt",c,3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0072036724793,Plain nonfat yogurt,harris teeter,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,53.0,0.0,0.0,9.41,6.47,4.71,53.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0014353102809,Yummy Kids Yogurt,givat,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,133.0,3.98,2.65,20.35,18.58,3.54,133.0,"milk-and-dairy-products,milk-and-yogurt",c,5.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0689544082378,Raspberry lowfat greek strained yogurt,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,80.0,1.67,1.0,7.33,4.0,8.67,80.0,"milk-and-dairy-products,milk-and-yogurt",a,-7.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0078355600114,Blueberry with honey greek yogurt style,Not Known Brand,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,124.0,5.31,3.1,15.04,13.27,4.42,124.0,"milk-and-dairy-products,milk-and-yogurt",c,4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0860361001791,Key lime indulgent yogurt,Not Known Brand,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,177.0,16.81,9.73,11.5,0.88,2.65,177.0,"milk-and-dairy-products,milk-and-yogurt",c,8.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.12,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0860361001746,No added sugar dairy free chocolate pili nut indulgent yogurt,Not Known Brand,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,186.0,15.93,8.85,17.7,1.77,2.65,186.0,"milk-and-dairy-products,milk-and-yogurt",c,5.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0860361001784,Vanilla chai dairy free pili nut indulgent yogurt,Not Known Brand,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,168.0,15.04,8.85,11.5,0.88,1.77,168.0,"milk-and-dairy-products,milk-and-yogurt",c,7.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.12,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0850008025242,Chocolate raspberry indulgent yogurt,Not Known Brand,113.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,168.0,15.93,8.85,11.5,1.77,2.65,168.0,"milk-and-dairy-products,milk-and-yogurt",c,6.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.12,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
