code,product_name_en,brands,brands_tags,quantity,serving_size,categories_tags,labels,labels_tags,countries_tags,origins,origins_tags,manufacturing_places,emb_codes,allergens,allergens_tags,traces,traces_tags,energy-kcal_unit,energy-kcal_value,no_nutrition_data,nutrition_data_per,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,sugars_value,carbohydrates_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts
0078742147413,Plain Greek Nonfat Yogurt,great value,great-value,5.3 oz,1 CONTAINER (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,53.0,,serving,0.0,g,0.0,g,4.0,4.0,g,10.0,g,82.5,mg,33.0,mg,53.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0041570144336,Vanilla Almondmilk Yogurt,almond breeze,almond-breeze,5.3 oz,,"en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:almond-milk-yogurts",,,en:united-states,,,,,Nuts,en:nuts,,,kcal,86.666666666667,,100g,3.3333333333333,g,0.0,g,12.666666666667,7.3333333333333,g,1.3333333333333,g,0.13333333333333,g,0.053333333333332,g,86.666666666667,kcal,en:sweets,"en:sugary-snacks,en:sweets",b,1.0,,unknown,Yes,Yes,No,No,No,No
0041570144305,Strawberry Almondmilk Yogurt,"almond breeze,blue diamond","almond-breeze,blue-diamond",5.3 oz,,"en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:almond-milk-yogurts",,,en:united-states,,,,,Nuts,en:nuts,,,kcal,93.333333333333,,100g,3.3333333333333,g,0.0,g,15.333333333333,10.666666666667,g,1.3333333333333,g,0.18333333333333,g,0.073333333333332,g,93.333333333333,kcal,en:sweets,"en:sugary-snacks,en:sweets",c,3.0,,unknown,Yes,Yes,No,No,No,No
0688267562747,Almondmilk Non-Dairy Yogurt,nature's promise,nature-s-promise,24 oz,3/4 cup (170 g),"en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:almond-milk-yogurts",,,en:united-states,,,,,,,,,kcal,160.0,,serving,13.0,g,1.0,g,9.0,1.0,g,5.0,g,25.0,mg,10.0,mg,160.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",a,-1.0,,unknown,Yes,Yes,No,No,No,No
0041570144312,Peach Almondmilk Yogurt,"almond breeze,blue diamond","almond-breeze,blue-diamond",5.3 oz,,"en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:almond-milk-yogurts",,,en:united-states,,,,,Nuts,en:nuts,,,kcal,93.333333333333,,100g,3.3333333333333,g,0.0,g,18.666666666667,10.666666666667,g,1.3333333333333,g,0.18333333333333,g,0.073333333333332,g,93.333333333333,kcal,en:sweets,"en:sugary-snacks,en:sweets",c,3.0,,unknown,Yes,Yes,No,No,No,No
0011110028761,Blueberry fruit on the bottom lowfat yogurt,kroger,kroger,,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,88.235294117647,,100g,1.1764705882353,g,0.88235294117647,g,15.882352941176,13.529411764706,g,3.5294117647059,g,0.14705882352941,g,0.058823529411764,g,88.235294117647,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0036632073525,Mixed Berry Chia Granola Almondmilk Yogurt Alternative,silk,silk,5.3 oz (150 g),1 pack (150 g),"en:plant-based-foods-and-beverages,en:fermented-foods,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:non-dairy-yogurts,en:almond-milk-yogurts",,,en:united-states,,,,,,,,,kcal,160.0,,100g,8.0,g,1.0,g,20.0,12.0,g,4.0,g,0.11666675,g,0.0466667,g,160.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",b,1.0,,unknown,Yes,Yes,No,No,No,No
7622210442154,Belvita biscuits-breakfast strawberry and yogurt,,,,100 g,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",,,"en:united-kingdom,en:united-states",,,,,"Gluten, Milk, Soybeans","en:gluten,en:milk,en:soybeans","Eggs, Nuts","en:eggs,en:nuts",,,,100g,14.0,g,3.0,g,70.0,26.0,g,6.9,g,0.0,g,0.0,g,1869.0,kJ,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",c,8.0,39.0,d,No,No,No,No,No,No
0705118400413,Strawberry Whole Milk Yogurt,bellwether farms,bellwether-farms,5.3 oz,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",,,en:united-states,,,,,,,,,kcal,86.666666666667,,100g,4.0,g,2.6666666666667,g,9.3333333333333,6.6666666666667,g,3.3333333333333,g,0.1,g,0.04,g,86.666666666667,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,2.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0014353102410,Whole Milk Strawberry Yogurt,yo smart,yo-smart,6 pouches,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts",,,en:united-states,,,,,,,,,kcal,130.0,,100g,4.0,g,2.5,g,23.0,17.0,g,4.0,g,0.1375,g,0.055,g,130.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",c,4.0,63.0,b,Yes,Yes,Yes,Yes,Yes,Yes
